nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
ODYSSEY WILD ONE GOLD,árabes,$792,1,100,edp,Floral,ARMAF,https://m.media-amazon.com/images/I/611JvmOAHaL.jpg	
BHARARA QUEEN,árabes,$1775,1,100,edp,Amaderada,BHARARA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLLMtdUMw-K5Ul0cKp9fpTJwLOtGwlHQN6Hw&s	
MAHARJAN SILVER,árabes,$892,1,100,edp,Floral,LATTAFA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV3RAQkMm9PvXmS_9C2MsUda9hNdvuisMT9g&s	
AFAQ,árabes,$870,1,100,edp,Amaderada,LATTAFA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3acHouOYLP7hqezwKG4UYsBw-8LtJBtuBGQ&s	
BADE´E AL OUD AMETHYST,árabes,$761,2,100,edp,Floral,LATTAFA,https://cazanovaonline.mx/cdn/shop/files/Disenosintitulo_2.png?v=1684544968	
LATTAFA HAYAATI GOLD ELIXIR,árabes,$600,2,100,edp,Floral,LATTAFA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6Ikn1udeKBBt8DpDaS9WKd_Vp2sXTEOlxlQ&s	
GUESS UOMO ACQUA HOMME,caballero,$848,2,100,edt,Oriental,GUESS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpGoii_BhvK7JhuAoIW9HumnaDaKfukf-PdA&s	
HUGO DEEP RED,caballero,$1044,1,90,edp,Acuática,HUGO BOSS,https://cazanovaonline.mx/cdn/shop/products/HUGOBOSSDEEPRED.jpg?v=1675110183	
PARIS HILTON CAN CAN,dama,$935,2,100,edp,Floral frutal,PARIS HILTON,https://perfumegallery.com.mx/cdn/shop/files/608940533369-3.jpg?v=1712704163	
COACH NEWY YORK,caballero,$1681,1,90,edp,Floral frutal,COACH,https://cazanovaonline.mx/cdn/shop/files/Disenosintitulo_20_2_af6ac560-80e5-4384-a023-b22bf7e8c72f.jpg?v=1749576698&width=1946  	
MOOD VANILLA ARIANA GRANDE,dama,$1721,1,100,edp,Amaderada,ARIANA GRANDE,https://www.perfumecenter.com.mx/cdn/shop/files/810101501227.jpg?v=1722157439	
AZZARO CHROME,caballero,$1579,1,100,edp,Gourmand,AZZARO,https://arome.mx/cdn/shop/files/1ok_35627e2e-39e0-468d-be0e-a41de4e4b6da_1000x.jpg?v=1771965906 	
COACH LOVE,dama,$1661,1,90,edp,Cítrica,COACH,https://ss701.liverpool.com.mx/xl/1146896622_1p.jpg  	
J'ADORE,dama,$3608,1,100,edt,Floral,DIOR,https://cdn11.bigcommerce.com/s-2vt02okold/images/stencil/1280x1280/products/3158/9114/MJAD__36579.1766599755.jpg?c=1	
DOLCE & GABBANA POUR HOMME,caballero,$1661,1,125,edt,Floral,DOLCE & GABBANA,https://www.mueblesamerica.mx/img/1024/1024/resize/D/O/DOGA00003_x1.jpg	
DOLCE & GABBANA DEVOTION,dama,$3462,1,100,edp,Aromática,DOLCE & GABBANA,https://m.media-amazon.com/images/I/81mUGSt5XvL._AC_UF1000,1000_QL80_.jpg	
JEAN PAUL ULTRA MALE INTENSE,caballero,$2730,1,125,edt,Cítrica,JEAN PAUL,https://www.perfumecenter.com.mx/cdn/shop/products/8435415012027.jpg?v=1602238644 	
BOSS THE SCENT FOR HER,caballero,$1823,1,100,edt,Oriental,HUGO BOSS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyyQbsASKGo09dt62Qflu8TMrGUu3fbovNkw&s	
SETS PARIS HILTON,dama,$1337,2,100,edp,Floral,PARIS HILTON,https://arome.mx/cdn/shop/files/MPARHSET4__56285_1280x.jpg?v=1725386594	
KATY PERRY'S MAD LOVE,dama,$827,2,100,edp,Floral,KATY PERRY,https://m.media-amazon.com/images/I/51O6dyhizbL._AC_UF1000,1000_QL80_.jpg 	
LANCOME LA VIE EST BELLE,dama,$3569,1,100,edp,Gourmand,LANCOME,https://resources.sanborns.com.mx/imagenes-sanborns-ii/1200/3605533286555_2.jpg	
INVICTUS PARFUM,caballero,$2925,1,100,edp,Aromática,PACO RABANNE,https://perfumegallery.com.mx/cdn/shop/files/3349668515660-3_706a5baf-775a-4d61-b4d8-6c1054bb9830.jpg?v=1775682129 	
VERSACE DYLAN BLUE POUR FEMME,dama,$2301,2,100,edp,Floral,VERSACE,https://ss701.liverpool.com.mx/xl/1068503473.jpg	
DRAKKAR NOIR,caballero,$797,2,100,edt,Aromática,GUY LAROCHE,https://www.perfumecenter.com.mx/cdn/shop/products/3360372009436_6d19d9ad-bb0c-4f58-82b4-c038e5220670.jpg?v=1602238400	
212 MEN NYC,caballero,$2301,1,100,edt,Amaderada,CAROLINA HERRERA,https://m.media-amazon.com/images/I/61ByYbCp48L._AC_UF1000,1000_QL80_.jpg 	
ARIANA GRANDE ARI,dama,$1256,2,100,edp,Fresca,ARIANA GRANDE,https://nuestrasfragancias.com/wp-content/uploads/2018/12/Ari-Ariana-Grande.webp	
360 MEN,caballero,$816,1,100,edt,Amaderada,PERRY ELLIS,https://cdn.fragrancenet.com/images/photos/1600x1600/126514.jpg 	
BAD BOY COBALT,caballero,$3120,1,100,edp,Amaderada,CAROLINA HERRERA,https://www.perfumecenter.com.mx/cdn/shop/files/8411061083772_5d3c82be-87bd-440a-ba79-370e6e79893a.jpg?v=1718962728 	
